License #,Dt,DBA Name,AKA Name,Facility Type,Inspection Date,License # - Flag
1,2010-06-04,HARVEST CRUSADES MINISTRIES,HARVEST CRUSADES MINISTRIES,SPECIAL EVENT,06/04/2010,Correct
2,2017-05-12,COSI,COSI,RESTAURANT,05/12/2017,Correct
9,2017-05-19,XANDO COFFEE & BAR / COSI SANDWICH BAR,XANDO COFFEE & BAR / COSI SANDWICH BAR,RESTAURANT,05/19/2017,Correct
40,2017-03-15,COSI,COSI,RESTAURANT,03/15/2017,Correct
43,2015-05-04,COSI,COSI,UNKNOWN,05/04/2015,Correct
62,2017-02-09,XANDO COFFEE & BAR / COSI SANDWICH BAR,XANDO COFFEE & BAR / COSI SANDWICH BAR,RESTAURANT,02/09/2017,Correct
85,2013-09-20,XANDO COFFEE & BAR / COSI SANDWICH BAR,XANDO COFFEE & BAR / COSI SANDWICH BAR,RESTAURANT,09/20/2013,Correct
99,2017-01-26,XANDO COFFEE & BAR / COSI SANDWICH BAR,COSI,RESTAURANT,01/26/2017,Correct
104,2012-04-04,VITO & NICK'S LOUNGE,VITO & NICK'S LOUNGE,UNKNOWN,04/04/2012,Correct
115,2016-12-28,JOHN SCHALLER,JOHN SCHALLER,RESTAURANT,12/28/2016,Correct
126,2017-02-24,"CAL'S 400 LIQUORS, INC.","CAL'S 400 LIQUORS, INC.",RESTAURANT,02/24/2017,Correct
139,2011-07-26,KILDARE LIQUORS,KILDARE LIQUORS,RESTAURANT,07/26/2011,Correct
143,2013-05-14,GEORGE BOZIC,GEORGE BOZIC,UNKNOWN,05/14/2013,Correct
146,2010-12-09,JEAN SAMOCKI,JEAN SAMOCKI,UNKNOWN,12/09/2010,Correct
147,2014-12-03,ISLANDS,ISLANDS,UNKNOWN,12/03/2014,Correct
149,2017-06-26,FOX'S BEVERLY PUB,FOX'S BEVERLY PUB,RESTAURANT,06/26/2017,Correct
153,2014-03-17,JEFFERY PUB,JEFFERY PUB,TAVERN,03/17/2014,Correct
158,2016-09-28,BURWOOD TAP,BURWOOD TAP,RESTAURANT,09/28/2016,Correct
164,2017-05-09,POTASH BROS. SUPERMARKET,POTASH BROS. SUPERMARKET,GROCERY STORE,05/09/2017,Correct
207,2016-10-12,RIVER SHANNON,RIVER SHANNON,RESTAURANT,10/12/2016,Correct
215,2016-04-05,KAREGIANES INC,KAREGIANES INC,UNKNOWN,04/05/2016,Correct
218,2012-06-18,LAURIE'S REST & COCKTAIL LOUNG,LAURIE'S REST & COCKTAIL LOUNG,RESTAURANT,06/18/2012,Correct
229,2010-08-13,69TH ST. CERTIFIED,69TH ST. CERTIFIED,UNKNOWN,08/13/2010,Correct
239,2010-08-24,OLD TIMERS REST & LOUNGE,OLD TIMERS REST & LOUNGE,RESTAURANT,08/24/2010,Correct
241,2017-05-12,HOP HAUS ROGERS PARK,HOP HAUS ROGERS PARK,RESTAURANT,05/12/2017,Correct
244,2014-12-11,HAROLD HANSON,HAROLD HANSON,UNKNOWN,12/11/2014,Correct
246,2013-01-14,C AND K LIQUOR INC,C AND K LIQUOR INC,GROCERY STORE,01/14/2013,Correct
255,2011-12-14,MARIE WUCZYNSKI'S RIPTIDE,MARIE WUCZYNSKI'S RIPTIDE,LIQUOR,12/14/2011,Correct
257,2016-07-20,GEJA'S CAFE,GEJA'S CAFE,RESTAURANT,07/20/2016,Correct
260,2012-01-25,PARK MANOR LOUNGE,KING'S CHINESE/PARK MANOR LOUNGE,RESTAURANT,01/25/2012,Correct
265,2016-08-19,THE CLOSET,THE CLOSET,LIQUOR,08/19/2016,Correct
271,2013-10-09,ROMA'S REST,ROMA'S REST,RESTAURANT,10/09/2013,Correct
276,2017-04-07,"BUTCH MC GUIRE'S, INC.","BUTCH MC GUIRE'S, INC.",RESTAURANT,04/07/2017,Correct
289,2014-09-11,SANDERS LOUNGE,SANDERS LOUNGE,UNKNOWN,09/11/2014,Correct
313,2014-12-16,O'NEIL'S BAR & GRILL,O'NEIL'S BAR & GRILL,UNKNOWN,12/16/2014,Correct
316,2016-08-23,LINCOLN TAVERN & RESTAURANT,LINCOLN TAVERN & RESTAURANT,RESTAURANT,08/23/2016,Correct
319,2016-01-12,LITTLE JOE'S CIRCLE LOUNGE INC,LITTLE JOE'S CIRCLE LOUNGE INC,RESTAURANT,01/12/2016,Correct
340,2013-11-18,ALGIER LOUNGE,ALGIER LOUNGE,RESTAURANT,11/18/2013,Correct
349,2016-06-21,KELLY'S PUB,KELLY'S PUB,RESTAURANT,06/21/2016,Correct
353,2010-10-12,SKYWAY LANES,SKYWAY LANES,RESTAURANT,10/12/2010,Correct
366,2013-11-26,H & L LIQUORS INC.,H & L LIQUORS INC.,UNKNOWN,11/26/2013,Correct
368,2014-12-23,RITZ INN,RITZ INN,UNKNOWN,12/23/2014,Correct
373,2012-08-29,ALBET INVESTMENTS LTD,ALBET INVESTMENTS LTD,UNKNOWN,08/29/2012,Correct
376,2012-08-29,ALBET INVESTMENTS,ALBET INVESTMENTS,UNKNOWN,08/29/2012,Correct
383,2010-10-19,MIKES LIQUORS,MIKES LIQUORS,UNKNOWN,10/19/2010,Correct
385,2017-06-06,"MR BEEF ON HARLEM, LTD",MR BEEF ON HARLEM,RESTAURANT,06/06/2017,Correct
404,2017-04-05,CELTIC CROWN,CELTIC CROWN,RESTAURANT,04/05/2017,Correct
407,2014-12-23,THE MID DAY CLUB,THE MID DAY CLUB,UNKNOWN,12/23/2014,Correct
410,2014-12-10,CAMBRIDGE HOUSE RESTAURANT,CAMBRIDGE HOUSE RESTAURANT,UNKNOWN,12/10/2014,Correct
415,2012-10-29,VITANGELO'S PIZZA & RESTAURANT,VITANGELO'S PIZZA & RESTAURANT,RESTAURANT,10/29/2012,Correct
429,2017-05-30,TONY'S ITALIAN DELI,TONY'S ITALIAN DELI,GROCERY STORE,05/30/2017,Correct
440,2017-03-17,JERUSALEM LIQUORS,JERUSALEM LIQUORS,GROCERY STORE,03/17/2017,Correct
473,2010-08-06,KINETIC PLAYGROUND,KINETIC PLAYGROUND,LIQUOR,08/06/2010,Correct
481,2012-07-25,PIZZA LOUNGE,PIZZA LOUNGE,UNKNOWN,07/25/2012,Correct
491,2017-04-28,"LA UNICA FOOD MART, INC.",LA UNICA FOOD MART,RESTAURANT/GROCERY STORE,04/28/2017,Correct
525,2014-08-29,MARQ LOUNGE,MARQ LOUNGE,TAVERN,08/29/2014,Correct
526,2013-11-20,DI'S DEN,DI'S DEN,RESTAURANT,11/20/2013,Correct
556,2010-10-15,RENALDI'S PIZZA,RENALDI'S PIZZA,RESTAURANT,10/15/2010,Correct
574,2016-09-07,ZAVEN INC,LE PETIT PARIS,RESTAURANT,09/07/2016,Correct
600,2012-10-16,GIL-TIKIE LOUNGE,GIL-TIKIE LOUNGE,UNKNOWN,10/16/2012,Correct
606,2010-03-15,SOUL QUEEN RESTAURANT & LOUNGE,SOUL QUEEN RESTAURANT & LOUNGE,UNKNOWN,03/15/2010,Correct
613,2012-02-16,CHINESE HOUSE RESTAURANT,CHINESE HOUSE RESTAURANT,UNKNOWN,02/16/2012,Correct
632,2012-10-04,FRANCES COCKTAIL LOUNGE,FRANCES COCKTAIL LOUNGE,TAVERN,10/04/2012,Correct
633,2012-10-04,FRANCES COCKTAIL LOUNGE,FRANCES COCKTAIL LOUNGE,TAVERN,10/04/2012,Correct
644,2016-12-07,MAXIM'S RESTAURANT INC,MAXIM'S RESTAURANT INC,RESTAURANT,12/07/2016,Correct
653,2010-12-02,ZIEMEK CORP.,ZACHARY'S  FOR  COCKTAILS,RESTAURANT,12/02/2010,Correct
663,2016-06-03,EL NUEVO GUADALAJARA INC,EL NUEVO GUADALAJARA INC,RESTAURANT,06/03/2016,Correct
666,2013-12-02,THE BAKED TOMATO,THE BAKED TOMATO,RESTAURANT,12/02/2013,Correct
691,2016-09-13,FOUR FARTHINGS TAVERN & GRILL,FOUR FARTHINGS TAVERN & GRILL,RESTAURANT,09/13/2016,Correct
694,2011-12-07,END ZONE TAP,END ZONE TAP,LIQUOR,12/07/2011,Correct
697,2016-08-03,SIXTY SIX O ONE CLUB,SIXTY SIX O ONE CLUB,LIQUOR,08/03/2016,Correct
700,2015-11-03,ORSO'S RESTAURANT,ORSO'S RESTAURANT,RESTAURANT,11/03/2015,Correct
704,2012-01-20,NEW RIALTO LOUNGE,NEW RIALTO LOUNGE,UNKNOWN,01/20/2012,Correct
722,2010-08-13,MARIA AGUIRRE,MARIA AGUIRRE,UNKNOWN,08/13/2010,Correct
724,2011-04-22,MR T'S,HEILEMAN'S OLD STYLE,LIQUOR,04/22/2011,Correct
732,2017-06-26,WOODLAWN GARDENS,WOODLAWN GARDENS,LOUNGE/BANQUET HALL,06/26/2017,Correct
740,2016-11-17,CHRIS' BAR,CHRIS' BAR,RESTAURANT,11/17/2016,Correct
747,2017-03-20,GUIDE'S SPORTS CLUB,GUIDE'S SPORTS CLUB,RESTAURANT,03/20/2017,Correct
753,2014-02-06,LINCOLN RESTAURANT,LINCOLN RESTAURANT,RESTAURANT,02/06/2014,Correct
760,2012-03-30,LAS QUINCE LETRAS,LAS QUINCE LETRAS,RESTAURANT,03/30/2012,Correct
766,2016-04-29,MUGS BUNNY,MUGS BUNNY,TAVERN,04/29/2016,Correct
774,2014-12-02,ASI ES COLOMBIA INC,ASI ES COLOMBIA INC,UNKNOWN,12/02/2014,Correct
783,2017-08-08,PORRETTA'S RESTAURANT INC,PORRETTA'S BANQUETS,RESTAURANT,08/08/2017,Correct
788,2012-08-31,HILLTOP LIQUORS MART,HILLTOP LIQUORS MART,GROCERY STORE,08/31/2012,Correct
800,2017-06-26,RESI'S BIERSTUBE INC,RESI'S BIERSTUBE,RESTAURANT,06/26/2017,Correct
804,2011-09-08,"LLOYDS LOUNGE, INC.","LLOYDS LOUNGE, INC.",LIQUOR,09/08/2011,Correct
822,2017-08-21,JOE'S FOOD & LIQUOR,JOE'S FOOD & LIQUOR,GROCERY STORE,08/21/2017,Correct
833,2016-08-08,STEVE'S LOUNGE,STEVE'S LOUNGE,RESTAURANT,08/08/2016,Correct
845,2016-09-20,ANDYS 11 EAST LOUNGE,ANDYS JAZZ CLUB,RESTAURANT,09/20/2016,Correct
849,2014-10-03,PROHIBITION CLUB,PROHIBITION CLUB,UNKNOWN,10/03/2014,Correct
851,2012-02-03,DELISI'S PIZZERIA,DELISI'S PIZZERIA,UNKNOWN,02/03/2012,Correct
853,2017-03-08,R J GRUNTS,R J GRUNTS,RESTAURANT,03/08/2017,Correct
857,2010-06-15,TONYS PEKING GARDEN INC,TONYS PEKING GARDEN INC,UNKNOWN,06/15/2010,Correct
896,2012-06-08,KEN'S LOUNGE & REST,KEN'S LOUNGE & REST,UNKNOWN,06/08/2012,Correct
901,2012-12-04,NORMAN'S FOOD & LIQUORS,NORMAN'S FOOD & LIQUORS,UNKNOWN,12/04/2012,Correct
928,2016-11-08,TEASER'S PUB,TEASER'S PUB,RESTAURANT,11/08/2016,Correct
951,2013-07-11,MITCHELL LOUNGE,MITCHELL LOUNGE,UNKNOWN,07/11/2013,Correct
955,2017-07-14,FREDY'S INN,FRANK & MARY'S,RESTAURANT,07/14/2017,Correct
957,2014-08-22,BOB'S LIQUORS & GROCERIES,BOB'S LIQUORS & GROCERIES,GROCERY STORE,08/22/2014,Correct
968,2017-05-23,CHEZ MOI,CHEZ MOI,RESTAURANT,05/23/2017,Correct
971,2010-07-06,ATHENS GROCERY,ATHENS GROCERY,GROCERY/LIQUOR,07/06/2010,Correct
980,2017-01-19,"7400 S HALSTED FOOD AND LIQUORS, INC.","7400 S HALSTED FOOD AND LIQUORS, INC.",GROCERY STORE,01/19/2017,Correct
990,2017-06-23,FALCO'S PIZZA,FALCO'S PIZZA,RESTAURANT,06/23/2017,Correct
994,2013-06-28,WILLIAMS INN,LULA'S INC,RESTAURANT,06/28/2013,Correct
1011,2012-12-06,FITZGERALD'S LIQUORS,FITZGERALD'S LIQUORS,UNKNOWN,12/06/2012,Correct
1017,2013-08-13,MEMBERS ONLY,MEMBERS ONLY,UNKNOWN,08/13/2013,Correct
1019,2010-08-12,RED'S NEW GENERATION,RED'S NEW GENERATION,UNKNOWN,08/12/2010,Correct
1036,2017-04-27,STERCH'S,STERCH'S,TAVERN,04/27/2017,Correct
1043,2015-09-29,GRAND RIVER,GRAND RIVER,RESTAURANT,09/29/2015,Correct
1046,2015-12-16,B & B GROCERY LIQUOR INC,B & B GROCERY LIQUOR INC,UNKNOWN,12/16/2015,Correct
1050,2017-03-17,"MARTINO'S ITALIAN CUISINE & PIZZERIA, INC.",MARTINO'S ITALIAN CUISINE & PIZZERIA,RESTAURANT,03/17/2017,Correct
1052,2016-12-29,ONE ELEVEN FOOD & LIQUOR INC,ONE ELEVEN FOOD & LIQUOR INC,GROCERY STORE,12/29/2016,Correct
1058,2016-11-14,LATIN AMERICAN REST & LOUNGE,LATIN AMERICAN REST & LOUNGE,RESTAURANT,11/14/2016,Correct
1060,2017-01-11,ZIGGY'S SIDE DOOR PUB & DELI,ZIGGY'S SIDE DOOR PUB & DELI,RESTAURANT,01/11/2017,Correct
1064,2015-05-15,MI TIERRA-SOUTH,MI TIERRA-SOUTH,RESTAURANT,05/15/2015,Correct
1077,2017-06-01,MONK'S PUB,MONK'S PUB,RESTAURANT,06/01/2017,Correct
1094,2017-04-19,ONE STOP FOOD & LIQUOR STORE,ONE STOP FOOD & LIQUOR STORE,GROCERY STORE,04/19/2017,Correct
1111,2012-05-24,MY PLACE,MY PLACE,TAVERN,05/24/2012,Correct
1129,2016-06-09,INTERNATIONAL FOODS NW INC,INTERNATIONAL FOODS NW INC,GROCERY STORE,06/09/2016,Correct
1146,2012-12-26,CANTONESIA INC,CANTONESIA INC,UNKNOWN,12/26/2012,Correct
1158,2013-09-19,"LAKESHORE RACQUET CLUB, INC.","LAKESHORE RACQUET CLUB, INC.",RESTAURANT,09/19/2013,Correct
1168,2017-04-04,BEEF AND BRANDY RESTAURANT,BEEF AND BRANDY RESTAURANT,RESTAURANT,04/04/2017,Correct
1179,2010-10-28,GARBACZEWSKI CORP,GARBACZEWSKI CORP,UNKNOWN,10/28/2010,Correct
1184,2013-05-20,KOLMAR LOUNGE,KOLMAR LOUNGE,UNKNOWN,05/20/2013,Correct
1187,2016-08-02,SADDLE AND CYCLE CLUB,SADDLE AND CYCLE CLUB,RESTAURANT,08/02/2016,Correct
1192,2017-04-05,SABATINOS INC,SABATINOS,RESTAURANT,04/05/2017,Correct
1196,2017-04-12,HOPSMITH TAVERN,HOPSMITH TAVERN,RESTAURANT,04/12/2017,Correct
1202,2010-02-16,CLUB 81 INC,CLUB 81 INC,UNKNOWN,02/16/2010,Correct
1203,2010-02-16,CLUB 81 INC,CLUB 81 INC,UNKNOWN,02/16/2010,Correct
1206,2017-01-17,GOUDY ELEMENTARY,GOUDY ELEMENTARY,SCHOOL,01/17/2017,Correct
1212,2016-11-09,BRUNA'S CAFE,BRUNA'S CAFE,RESTAURANT,11/09/2016,Correct
1214,2014-12-31,FOREMOST LIQUORS,FOREMOST LIQUORS,LIQUOR,12/31/2014,Correct
1219,2017-02-09,MOODY'S RESTAURANT INC,MOODY'S RESTAURANT,RESTAURANT,02/09/2017,Correct
1226,2016-09-06,EDDIE'S FOOD & LIQUOR,EDDIE'S FOOD & LIQUOR,GROCERY STORE,09/06/2016,Correct
1237,2017-06-08,"ITALIAN VILLAGE RESTAURANT, INC.",ITALIAN VILLAGE / VIVERE,RESTAURANT,06/08/2017,Correct
1242,2017-04-27,PALM RESTAURANT,PALM RESTAURANT,RESTAURANT,04/27/2017,Correct
1246,2017-05-22,BREHON PUB,BREHON PUB,RESTAURANT,05/22/2017,Correct
1254,2017-07-18,DINO'S PIZZA,DINO'S PIZZA,RESTAURANT,07/18/2017,Correct
1259,2012-07-23,RED PEPPER'S LOUNGE,RED PEPPER'S LOUNGE,RESTAURANT,07/23/2012,Correct
1261,2013-12-09,IRVING PARK LANES,IRVING PARK LANES,RESTAURANT,12/09/2013,Correct
1292,2017-02-08,ARCH VIEW RESTAURANT,NO SIGNAGE,RESTAURANT,02/08/2017,Correct
1298,2017-03-23,J. L. LOUNGE,J. L. LOUNGE,TAVERN,03/23/2017,Correct
1303,2017-01-04,TREASURE ISLAND FOODS INC,TREASURE ISLAND,GROCERY STORE,01/04/2017,Correct
1307,2017-05-11,TREASURE ISLAND FOODS,TREASURE ISLAND FOODS,GROCERY STORE,05/11/2017,Correct
1311,2016-12-27,TREASURE ISLAND FOODS,TREASURE ISLAND FOODS,GROCERY STORE,12/27/2016,Correct
1315,2016-11-29,TREASURE ISLAND FOODS,TREASURE ISLAND FOODS,GROCERY STORE,11/29/2016,Correct
1319,2017-03-09,TREASURE ISLAND FOODS,TREASURE ISLAND FOODS,GROCERY STORE,03/09/2017,Correct
1323,2016-08-18,JEWEL FOOD STORE #3443,JEWEL FOOD STORE #3443,GROCERY STORE,08/18/2016,Correct
1325,2017-08-09,JEWEL FOOD STORE #3454,JEWEL FOOD STORE #3454,GROCERY STORE,08/09/2017,Correct
1329,2013-08-15,JEWEL FOOD STORE #3430,JEWEL,GROCERY STORE,08/15/2013,Correct
1333,2015-11-27,JEWEL FOOD STORE #3210,JEWEL FOOD STORE,GROCERY STORE,11/27/2015,Correct
1337,2016-08-05,JEWEL FOOD STORE #3282,JEWEL FOOD STORE,GROCERY STORE,08/05/2016,Correct
1356,2013-06-17,JEWEL FOOD STORE #3139,JEWEL FOOD STORE #3139,GROCERY STORE,06/17/2013,Correct
1362,2016-12-15,MONTESSORI OF ENGLEWOOD,MONTESSORI OF ENGLEWOOD,SCHOOL,12/15/2016,Correct
1366,2017-08-14,JEWEL FOOD STORE #3170,JEWEL / OSCO,GROCERY STORE,08/14/2017,Correct
1368,2016-09-15,JEWEL FOOD STORE #3181,JEWEL FOOD STORE #3181,GROCERY STORE,09/15/2016,Correct
1370,2013-05-08,JEWEL FOOD STORE #3089,JEWEL FOOD STORE #3089,GROCERY STORE,05/08/2013,Correct
1372,2017-03-09,JEWEL FOOD STORE #3477,JEWEL FOOD STORE #3477,GROCERY STORE,03/09/2017,Correct
1375,2017-04-24,JEWEL FOOD STORE #3441,JEWEL FOOD STORE #3441,GROCERY STORE,04/24/2017,Correct
1380,2017-07-20,JEWEL FOOD STORE #3455,JEWEL FOOD STORE #3455,GROCERY STORE,07/20/2017,Correct
1382,2017-08-21,JEWEL FOOD STORE #3470,JEWEL FOOD STORE #3470,GROCERY STORE,08/21/2017,Correct
1385,2016-11-17,JEWEL FOOD STORE #3514,JEWEL FOOD STORE #3514,GROCERY STORE,11/17/2016,Correct
1387,2017-02-01,GROVER CLEVELAND ELEMENTARY SCHOOL,GROVER CLEVELAND ELEMENTARY SCHOOL,SCHOOL,02/01/2017,Correct
1388,2016-12-14,JEWEL FOOD STORE #3114,JEWEL FOOD STORE #3114,GROCERY STORE,12/14/2016,Correct
1392,2017-03-20,JEWEL FOOD STORE #3296,JEWEL FOOD STORE #3296,GROCERY STORE,03/20/2017,Correct
1394,2017-03-15,JEWEL FOOD STORE #3407,JEWEL FOOD STORE,GROCERY STORE,03/15/2017,Correct
1398,2016-09-14,JEWEL FOOD STORE #3241,JEWEL FOOD STORE #3241,GROCERY STORE,09/14/2016,Correct
1400,2011-11-21,JEWEL FOOD STORE #3057,JEWEL FOOD STORE #3057,GROCERY STORE,11/21/2011,Correct
1402,2016-11-25,JEWEL FOOD STORE #3302,JEWEL FOOD STORE #3302,GROCERY STORE,11/25/2016,Correct
1404,2016-08-19,JEWEL FOOD STORE #3176,JEWEL FOOD STORE #3176,GROCERY STORE,08/19/2016,Correct
1406,2017-06-08,JEWEL FOOD STORE #3442,JEWEL FOOD STORE #3442,GROCERY STORE,06/08/2017,Correct
1409,2017-05-08,JEWEL FOOD STORES #3262,JEWEL FOOD STORES #3262,GROCERY STORE,05/08/2017,Correct
1411,2017-02-15,JEWEL FOOD STORE #3092,JEWEL FOOD STORE #3092,GROCERY STORE,02/15/2017,Correct
1418,2012-07-27,IRYS,IRYS,UNKNOWN,07/27/2012,Correct
1425,2016-08-10,KIRKWOOD BAR & GRILL,KIRKWOOD BAR & GRILL,RESTAURANT,08/10/2016,Correct
1429,2017-06-23,MR G'S FOOD & LIQUOR,MR G'S FOOD & LIQUOR,GROCERY STORE,06/23/2017,Correct
1434,2015-11-18,GROUCHO'S BAR & GRILL,GROUCHO'S BAR & GRILL,RESTAURANT,11/18/2015,Correct
1447,2013-08-30,J V ENTERPRISES INC,MARQUETTE INN,RESTAURANT,08/30/2013,Correct
1448,2013-08-30,J V ENTERPRISES INC,MARQUETTE INN,RESTAURANT,08/30/2013,Correct
1450,2016-09-21,ST. ANN SCHOOL,ST. ANN SCHOOL,SCHOOL,09/21/2016,Correct
1462,2016-10-24,QUENCHER'S INC,QUENCHER'S INC,RESTAURANT,10/24/2016,Correct
1470,2017-03-24,VILLA PALERMO INC,VILLA PALERMO PIZZA,RESTAURANT,03/24/2017,Correct
1474,2016-08-18,HIDE OUT INC,HIDE OUT INC,LIQUOR,08/18/2016,Correct
1491,2017-06-09,BLACKIE'S,BLACKIE'S,RESTAURANT,06/09/2017,Correct
1495,2013-04-08,JOY FOOD & LIQ,JOY FOOD & LIQ,UNKNOWN,04/08/2013,Correct
1503,2012-11-26,EL TIPICO,EL TIPICO,UNKNOWN,11/26/2012,Correct
1511,2012-04-04,SUPER GIANT FOOD,SUPER GIANT FOOD,UNKNOWN,04/04/2012,Correct
1516,2012-08-14,EL MORRO INC,EL MORRO INC,UNKNOWN,08/14/2012,Correct
1525,2016-07-05,EL NUEVO MEXICANO,EL NUEVO MEXICANO,RESTAURANT,07/05/2016,Correct
1529,2017-04-19,MARIE'S LIQUORS INC.,MARIE'S PIZZA & LIQUORS,RESTAURANT,04/19/2017,Correct
1542,2017-08-14,MELLOW YELLOW,MELLOW YELLOW,RESTAURANT,08/14/2017,Correct
1544,2015-04-21,"S & K FOOD & LIQUOR, INC.","S & K FOOD & LIQUOR, INC.",GROCERY STORE,04/21/2015,Correct
1548,2014-02-27,RUDY'S LOUNGE,RUDY'S LOUNGE,TAVERN,02/27/2014,Correct
1553,2017-01-24,PEPE TACO,PEPE TACO,RESTAURANT,01/24/2017,Correct
1555,2013-08-13,D'AGOSTINO'S PIZZA,D'AGOSTINO'S PIZZA,RESTAURANT,08/13/2013,Correct
1559,2013-03-13,IN & OUT FOOD CORP,IN & OUT FOOD CORP,UNKNOWN,03/13/2013,Correct
1567,2014-09-04,J AND P FINER FOODS,J AND P FINER FOODS,GROCERY STORE,09/04/2014,Correct
1574,2014-06-12,GOLDEN TIARA LTD,GOLDEN TIARA LTD,RESTAURANT,06/12/2014,Correct
1578,2016-06-27,1000 LIQUORS / BIG CITY TAP,1000 LIQUORS / BIG CITY TAP,RESTAURANT,06/27/2016,Correct
1585,2013-09-30,DON CARLOS RESTAURANT,DON CARLOS RESTAURANT,RESTAURANT,09/30/2013,Correct
1588,2016-09-16,JOHNNY O'S,JOHNNY O'S,RESTAURANT,09/16/2016,Correct
1594,2012-06-04,LAWN SUPER FOOD MART INC,LAWN SUPER FOOD MART INC,UNKNOWN,06/04/2012,Correct
1598,2011-08-25,BROWN SUGAR LOUNGE,BROWN SUGAR LOUNGE,LIQUOR,08/25/2011,Correct
1599,2017-04-07,BACCHANALIA REST & LNG,BACCHANALIA RISTORANTE,RESTAURANT,04/07/2017,Correct
1610,2016-11-02,HEINZE LIQUORS,HEINZE LIQUORS,UNKNOWN,11/02/2016,Correct
1617,2013-02-11,TATRA INN INC,TATRA INN INC,UNKNOWN,02/11/2013,Correct
1650,2016-07-29,KINGSTON MINES,KINGSTON MINES,RESTAURANT,07/29/2016,Correct
1655,2017-08-22,HELLAS GYROS INC,HELLAS GYROS,RESTAURANT,08/22/2017,Correct
1673,2017-03-03,RON OF JAPAN INC,RON OF JAPAN,RESTAURANT,03/03/2017,Correct
1675,2014-12-15,J R FOOD AND LIQUORS,J R FOOD AND LIQUORS,UNKNOWN,12/15/2014,Correct
1693,2016-08-18,CARNICERIA JIMENEZ INC,CARNICERIA JIMENEZ INC,GROCERY STORE,08/18/2016,Correct
1698,2016-03-30,LA PERLA TAPATIA BAKERY,LA PERLA TAPATIA BAKERY,BAKERY,03/30/2016,Correct
1699,2017-04-24,ST. PASCAL,POPE FRANCIS GLOBAL ACADEMY,SCHOOL,04/24/2017,Correct
1700,2017-07-07,LA PERLA TAPATIA #2,LA PERLA TAPATIA #2,BAKERY,07/07/2017,Correct
1707,2015-12-28,LOMALINDA CORP.,LOMALINDA CORP.,UNKNOWN,12/28/2015,Correct
1710,2017-02-10,ST. MARGARET MARY SCHOOL,ST. MARGARET MARY SCHOOL,SCHOOL,02/10/2017,Correct
1723,2012-08-20,OLLIES,OLLIES,TAVERN,08/20/2012,Correct
1726,2017-01-12,NEW ARCHVIEW RESTAURANT INC,NEW ARCHVIEW RESTAURANT INC,RESTAURANT,01/12/2017,Correct
1732,2017-05-26,EXCHEQUER RESTAURANT,EXCHEQUER RESTAURANT,RESTAURANT,05/26/2017,Correct
1738,2012-11-26,THE DAY SCHOOL,THE DAY SCHOOL,ALTERNATIVE SCHOOL,11/26/2012,Correct
1745,2017-01-19,SOUTH LOOP ELEMENTARY,SOUTH LOOP ELEMENTARY,SCHOOL,01/19/2017,Correct
1750,2013-05-06,AZTECA TACOS RESTAURANT INC,PLAYA AZUL,RESTAURANT,05/06/2013,Correct
1753,2014-11-10,AZTECA TACOS,AZTECA TACOS,RESTAURANT,11/10/2014,Correct
1760,2013-12-09,REFLECTIONS,REFLECTIONS,UNKNOWN,12/09/2013,Correct
1761,2013-09-09,LA ROKA CORP.,LA ROKA,LIQUOR,09/09/2013,Correct
1762,2012-11-16,FRANKIE Z' CLARK BAR,FRANKIE Z' CLARK BAR,RESTAURANT,11/16/2012,Correct
1766,2016-11-07,MIRABELL RESTAURANT,MIRABELL RESTAURANT,RESTAURANT,11/07/2016,Correct
1770,2017-02-16,VALENTINO CLUB CAFE,VALENTINO CLUB CAFE,RESTAURANT,02/16/2017,Correct
1773,2016-10-28,JOHNNY'S FOODS,JOHNNY'S FOODS,GROCERY STORE,10/28/2016,Correct
1781,2012-10-04,BRANSFIELD'S BAR & GRILL,BRANSFIELD'S BAR & GRILL,UNKNOWN,10/04/2012,Correct
1791,2014-09-10,JA' GRILL,JA' GRILL,RESTAURANT,09/10/2014,Correct
1794,2017-01-13,"THREE SONS RESTAURANT, INC.","THREE SONS RESTAURANT, INC.",RESTAURANT,01/13/2017,Correct
1797,2014-09-18,ARCADIA FOOD WINE & SPIRITS,ARCADIA FOOD WINE & SPIRITS,GROCERY STORE,09/18/2014,Correct
1800,2017-08-21,PALERMO'S RESTAURANT,PALERMO'S RESTAURANT,RESTAURANT,08/21/2017,Correct
1802,2010-06-14,AMBRIA,AMBRIA,UNKNOWN,06/14/2010,Correct
1804,2017-07-17,CUERNAVACA RESTAURANT INC,LA VACA,RESTAURANT,07/17/2017,Correct
1806,2016-06-10,AVIVA RESTAURANT,AVIVA,RESTAURANT,06/10/2016,Correct
1813,2014-05-08,LA SALLE LANGUAGE ACADEMY,LA SALLE LANGUAGE ACADEMY,SCHOOL,05/08/2014,Correct
1819,2014-03-24,PITZAFERRO INC,PITZAFERRO INC,UNKNOWN,03/24/2014,Correct
1835,2010-04-26,TERESA POLISH RESTURANT II,TERESA POLISH RESTURANT II,UNKNOWN,04/26/2010,Correct
1838,2017-03-01,TERESA RESTAURANT /BANQUET HAL,TERESA RESTAURANT /BANQUET HAL,RESTAURANT,03/01/2017,Correct
1858,2015-01-21,HOLLYWOOD TOWER MKT,HOLLYWOOD TOWER,GROCERY STORE,01/21/2015,Correct
