License #,Dt,DBA Name,AKA Name,Facility Type,Inspection Date,License # - Flag
8605,2014-02-25,THE CLARK BAR,THE CLARK BAR,UNKNOWN,02/25/2014,Correct
8638,2016-09-07,RAVENS,RAVENS,TAVERN,09/07/2016,Correct
8658,2014-12-16,GNS MARKET,GNS MARKET,LIQUOR,12/16/2014,Correct
8665,2014-12-18,ONE STOP FOOD ANDLIQUORS,ONE STOP FOOD ANDLIQUORS,UNKNOWN,12/18/2014,Correct
8679,2015-10-21,WIENER'S CIRCLE,WIENER'S CIRCLE,RESTAURANT,10/21/2015,Correct
8680,2015-12-09,NEW JAPAN INN,NEW JAPAN INN,UNKNOWN,12/09/2015,Correct
8682,2015-12-04,AVALON EAT SHOP,AVALON EAT SHOP,GROCERY STORE,12/04/2015,Correct
8704,2013-02-15,ROCCO & BENNY'S FINER FOODS,ROCCO & BENNY'S FINER FOODS,UNKNOWN,02/15/2013,Correct
8715,2010-05-18,KIRIN ANTLER TRADING CO,KIRIN ANTLER TRADING CO,GROCERY STORE,05/18/2010,Correct
8732,2011-05-06,EL PARAISO BAKERY,EL PARAISO BAKERY,BAKERY,05/06/2011,Correct
8741,2016-06-30,COCULA RESTAURANT,COCULA RESTAURANT,RESTAURANT,06/30/2016,Correct
8745,2014-09-23,SAM FOOD AND LIQUOR,SAM FOOD AND LIQUOR,GROCERY STORE,09/23/2014,Correct
8776,2013-12-18,PLAZA FOOD & LIQUOR,PLAZA FOOD & LIQUOR,GROCERY STORE,12/18/2013,Correct
8794,2012-09-27,CHGO PIZZA & PUMPING STATION,CHGO PIZZA & PUMPING STATION,UNKNOWN,09/27/2012,Correct
8833,2017-02-17,SABAS VEGA INC.,SABAS VEGA,RESTAURANT,02/17/2017,Correct
8864,2015-12-11,STREETERS TAVERN,STREETERS TAVERN,TAVERN,12/11/2015,Correct
8907,2015-12-04,HACIENDA DE LOS GUTIEREZ,HACIENDA DE LOS GUTIEREZ,UNKNOWN,12/04/2015,Correct
8932,2016-03-08,"LAZO'S TACOS, INC",LAZO'S TACOS,RESTAURANT,03/08/2016,Correct
